build_idx,apfd
0,0.7666666666666667
1,0.7444444444444446
2,0.6316397228637414
3,0.30000000000000004
4,0.39999999999999997
5,0.0416666666666667
6,0.6666666666666666
7,0.25609756097560976
8,0.7687499999999999
9,0.4583333333333333
10,0.78
11,0.7999999999999999
12,0.20588235294117646
13,0.49999999999999994
14,0.625
15,0.5192307692307692
16,0.8636363636363636
17,0.5625
18,0.9827586206896551
19,0.85
20,0.5531914893617021
21,0.75
22,0.9285714285714286
23,0.38
24,0.5
25,0.24999999999999997
26,0.7500000000000001
27,0.5833333333333334
28,0.8333333333333334
29,0.375
30,0.9117647058823529
31,0.59375
32,0.4710144927536232
33,0.5
34,0.6000000000000001
35,0.625
36,0.5833333333333334
37,0.9444444444444444
38,0.412037037037037
39,0.7765957446808511
40,0.5
41,0.8928571428571429
42,0.08333333333333329
43,0.12222222222222225
44,0.9137931034482758
45,0.21875
46,0.37499999999999994
47,0.7954545454545455
48,0.9500000000000001
49,0.9583333333333334
50,0.8493150684931506
51,0.6153846153846154
52,0.6056338028169014
53,0.5944444444444444
54,0.5126262626262627
55,0.3576388888888889
56,0.055555555555555566
57,0.6470588235294117
58,0.16071428571428573
59,0.16666666666666669
60,0.5681818181818182
61,0.65
62,0.5
63,0.6875
64,0.65625
65,0.7307692307692308
66,0.375
67,0.5927536231884059
68,0.2978142076502733
69,0.25
70,0.5833333333333334
71,0.8145161290322581
72,0.75
73,0.6785714285714286
74,0.34210526315789475
75,0.875
76,0.5846153846153845
77,0.5888888888888889
78,0.8043478260869564
79,0.9807692307692307
80,0.33333333333333337
81,0.875
82,0.588235294117647
83,0.1875
84,0.5
85,0.47826086956521735
86,0.9615384615384616
87,0.25
88,0.119047619047619
89,0.9772727272727273
90,0.5416666666666666
91,0.39999999999999997
92,0.9
93,0.96875
94,0.975
95,0.08333333333333329
96,0.49999999999999994
97,0.03703703703703705
98,0.29787234042553185
99,0.7000000000000001
100,0.9583333333333334
101,0.9
102,0.6228070175438597
103,0.020833333333333294
104,0.9705882352941176
105,0.37499999999999994
106,0.49999999999999994
107,0.75
108,0.5
109,0.375
110,0.08333333333333329
111,0.2777777777777778
112,0.375
113,0.5
114,0.08333333333333329
115,0.42000000000000004
116,0.119047619047619
117,0.2837837837837837
118,0.2142857142857143
119,0.9098360655737705
120,0.9285714285714286
121,0.7727272727272727
122,0.18000000000000005
123,0.5
124,0.125
125,0.10000000000000005
126,0.7499999999999999
127,0.3928571428571428
128,0.8333333333333333
129,0.5
130,0.9
131,0.5
132,0.9
133,0.5
134,0.15909090909090906
135,0.16666666666666669
136,0.75
137,0.25
138,0.16666666666666669
139,0.15384615384615388
140,0.96875
141,0.5
142,0.5
143,0.08333333333333329
144,0.24999999999999997
145,0.10000000000000005
146,0.9545454545454546
147,0.7857142857142857
148,0.375
149,0.5
150,0.5
151,0.5
152,0.49999999999999994
153,0.16666666666666669
154,0.5
155,0.5
156,0.75
157,0.5833333333333334
158,0.6403508771929824
159,0.49999999999999994
160,0.0757575757575758
161,0.4814814814814815
162,0.5871559633027523
163,0.657051282051282
164,0.18421052631578944
165,0.986111111111111
166,0.5
167,0.7045454545454545
168,0.5517241379310345
169,0.539568345323741
170,0.9444444444444444
171,0.5
172,0.16666666666666663
173,0.3985507246376811
174,0.8076923076923077
175,0.2672413793103448
176,0.35
177,0.6136363636363636
178,0.6634615384615384
179,0.6287878787878788
180,0.625
181,0.5
182,0.2777777777777778
183,0.8671875
184,0.5350877192982456
185,0.6547619047619048
186,0.5625
187,0.10714285714285715
188,0.2142857142857143
189,0.6388888888888888
190,0.611111111111111
191,0.4696969696969697
192,0.85
193,0.16666666666666663
194,0.3888888888888889
195,0.5
196,0.4182389937106918
197,0.5328947368421053
198,0.3571428571428571
199,0.38815789473684204
200,0.19230769230769235
201,0.11538461538461538
202,0.42499999999999993
203,0.8333333333333334
204,0.59375
205,0.3777777777777778
206,0.20681818181818185
207,0.375
208,0.13657407407407407
209,0.4230769230769231
210,0.5
211,0.9444444444444444
212,0.8076923076923077
213,0.35714285714285715
214,0.6000000000000001
215,0.5952380952380951
216,0.8076923076923077
217,0.13636363636363638
218,0.4354838709677419
219,0.5681818181818182
220,0.22222222222222215
221,0.7000000000000001
222,0.425
223,0.12500000000000003
224,0.2647058823529412
225,0.41489361702127653
226,0.49999999999999994
227,0.9603174603174603
228,0.5
229,0.09375
230,0.16666666666666669
231,0.5
232,0.19565217391304351
233,0.5
234,0.9210526315789475
235,0.6874999999999999
236,0.09701492537313432
237,0.7142857142857143
238,0.5
239,0.10000000000000005
240,0.5
241,0.32999999999999996
242,0.839622641509434
243,0.9545454545454546
244,0.4583333333333333
245,0.875
246,0.3541666666666667
247,0.7777777777777778
248,0.16666666666666669
249,0.7083333333333333
250,0.875
251,0.38888888888888895
252,0.3571428571428571
253,0.1875
254,0.10000000000000003
255,0.8125
256,0.5
257,0.5588235294117647
258,0.8636363636363636
259,0.9285714285714286
260,0.5
261,0.25
262,0.9166666666666666
263,0.4166666666666667
264,0.5
265,0.5
266,0.5
267,0.5083333333333334
268,0.6428571428571428
269,0.5178571428571428
270,0.8918918918918919
271,0.38
272,0.24999999999999997
273,0.03658536585365856
274,0.7894736842105263
275,0.24999999999999997
276,0.6666666666666666
